German Title ;English Title;ID_paper;ssoar(Link);language;Journal;Publication Year;ISSN;Author_1;Author_2;Author_3;Author_4;Author_5;Author_6;ID_paper;Dataset1;Link in Dara;Dataset2;Link in Dara;Dataset3;Link in Dara;Dataset4;Link in Dara;Dataset5;Link in Dara;Dataset6;Link in Dara;Dataset7;Link in Dara;Dataset8;Link in Dara;
"Alle guten Dinge sind 3 –
Entwicklung einer surveyfähigen Kurzskala zur Erfassung
allgemeiner Selbstwirksamkeitserwartungen";"The best things come in threes –
Construction of a survey compatible short scale for measuring general self-efficacy beliefs";37421;http://www.ssoar.info/ssoar/handle/document/37421;German;Methoden, Daten, Analysen (mda), 7 (2013) 2;2013;1864-6956;Constanze Beierlein;Christoph J. Kemper;Anastassiya Kovaleva;Beatrice Rammstedt;_;_;37421;Pisa 2000;http://www.da-ra.de/dara/study/web_show?res_id=428867&lang=de&mdlang=de&detail=true;Allbus 2010;http://www.da-ra.de/dara/study/web_show?res_id=9696&lang=de&mdlang=de&detail=true;SOEP 2009;http://www.da-ra.de/dara/study/web_show?res_id=10072&lang=de&mdlang=de&detail=true;;;;;;;;;;;
_;PIAAC and its Methodological Challenges;42893;http://www.ssoar.info/ssoar/handle/document/42893;English;"Methods, data, analyses : a journal for quantitative methods and survey methodology (mda), 8 (2014) 2
MDA_part1/42893.tsv";2014;1864-6956;Beatrice Rammstedt, Débora B. Maehler;_;_;_;_;_;42893;PIAAC 2011-2012;http://www.da-ra.de/dara/study/web_show?res_id=291856&lang=de&mdlang=de&detail=true;ESS 2012;NoT Registered;Pisa;http://www.da-ra.de/dara/study/web_show?res_id=1384&lang=de&mdlang=de&detail=true;ALLBUS 2008;http://www.da-ra.de/dara/study/web_show?res_id=462371&lang=de&mdlang=de&detail=true;;;;;;;;;
Geographische Informationssysteme (GIS) und ihre Anwendung in den Sozialwissenschaften am Beispiel des Schweizer Umweltsurveys;Geographic Information System (GIS) and its Application in the Social Sciences using the Example of the Swiss Environmental Survey;38448;http://www.ssoar.info/ssoar/handle/document/38448;German;"Methoden, Daten, Analysen (mda), 7 (2013) 3
MDA_part1/38448.tsv";2013;1864-6956;Dr. Reto Meyer, Heidi Bruderer Enzler;_;_;_;_;_;38448;SOEP;http://www.da-ra.de/dara/study/web_show?res_id=464020&lang=de&mdlang=de&detail=true;Panel study of income;http://www.da-ra.de/dara/study/web_show?res_id=436168&lang=de&mdlang=de&detail=true;Biritish Household Panel Survey(not sure about 1999);NoT Registered;Schweizer Umweltsurvey 2007;NoT Registered;Mikrozensus 2005;http://www.da-ra.de/dara/study/web_show?res_id=9639&lang=de&mdlang=de&detail=true;;;;;;;
"Eine kurze Skala zur Messung der fünf Dimensionen der Persönlichkeit : 10 Item Big Five Inventory
 (BFI-10)";_;37420;http://www.ssoar.info/ssoar/handle/document/37420;German;"Methoden, Daten, Analysen (mda), 7 (2013) 2
MDA_part1/37420.tsv";2013;1864-6956;Beatrice Rammstedt;Christoph J. Kemper;Mira Céline Klein;Constanze Beierlein;Anastassiya Kovaleva;_;37420;soep 2009;http://www.da-ra.de/dara/study/web_show?res_id=10072&lang=de&mdlang=de&detail=true;soep 2005;http://www.da-ra.de/dara/study/web_show?res_id=2257&lang=de&mdlang=de&detail=true;ALLBUS 2010;http://www.da-ra.de/dara/study/web_show?res_id=10072&lang=de&mdlang=de&detail=true;International Social Survey Programme(ISSP);http://www.da-ra.de/dara/study/web_search_show?lang=de&detail=false&mdlang=de;;;;;;;;;
_;Respondent Incentives in a National Face-to-Face Survey: Effects on Outcome Rates, Sample Composition and Fieldwork Efforts;35915;http://www.ssoar.info/ssoar/handle/document/35915;English;"Methoden, Daten, Analysen (mda), 7 (2013) 1
MDA_part1/35915.tsv";2013;1864-6956;Der Einsatz;_;_;_;_;_;35915;ALLBUS 2010 (doi inside paper);http://www.da-ra.de/dara/search/search_show?res_id=5398&lang=en&mdlang=en&detail=true&q=defaultSearch%3A%2810.4232%5C%2F1.10760%29&rtList=&personal=false;SHARE 2010;http://www.da-ra.de/dara/study/web_show?res_id=287257&lang=de&mdlang=de&detail=true;ESS 2010;NoT Registered;EVS 2008;http://www.da-ra.de/dara/study/web_show?res_id=5495&lang=de&mdlang=de&detail=true;"
Detroit Area Study 2000(not sure about link)";http://www.da-ra.de/dara/study/web_show?res_id=436866&lang=de&mdlang=de&detail=true;European Quality of life Survey(EQLS)  2011;NoT Registered;National Adult Literacy Survey;NoT Registered;ALLBUS 1994-2008;http://www.da-ra.de/dara/study/web_show?res_id=296631&lang=de&mdlang=de&detail=true;
_;How Can Skill Mismatch Be Measured? New Approaches With PIAAC;42884;http://www.ssoar.info/ssoar/handle/document/42884;English;"Methods, data, analyses : a journal for quantitative methods and survey methodology (mda), 8 (2014) 2
MDA_part1/42884.tsv";2014;1864-6956;Anja Perry;Simon Wiederhold;Daniela Ackermann-Piek;_;_;_;42884;PIAAC 2011-2012(doi inside paper);http://www.da-ra.de/dara/search/search_show?res_id=291856&lang=en&mdlang=en&detail=true&q=defaultSearch%3A%2810.4232%5C%2F1.11865%29&rtList=&personal=false;International Adult Literacy Survey;NoT Registered;German National Education Panel Study (NEPS);http://www.da-ra.de/dara/study/web_search_show?lang=de&detail=false&mdlang=de;Adult Literacy and Lifeskills (ALL);NoT Registered;;;;;;;;;
_;The Challenge of Meeting International Data Collection Standards within National Constraints: Some Examples from the Fieldwork for PIAAC in Germany;42886;http://www.ssoar.info/ssoar/handle/document/42886;English;"Methods, data, analyses : a journal for quantitative methods and survey methodology (mda), 8 (2014) 2
MDA_part1/42886.tsv";2014;1864-6956;Anouk Zabal;_;_;_;_;_;42886;ALLBUS 2012;http://www.da-ra.de/dara/study/web_show?res_id=296631&lang=de&mdlang=de&detail=true;"
PIAAC 2011-2012";http://www.da-ra.de/dara/study/web_show?res_id=291856&lang=de&mdlang=de&detail=true;ESS;NoT Registered;IALS 1994-1998;NoT Registered;"
ALL 2002-2008";http://www.da-ra.de/dara/study/web_show?res_id=296631&lang=de&mdlang=de&detail=true;SHARE 2005;http://www.da-ra.de/dara/study/web_search_show?lang=de&detail=false&mdlang=de;;;;;
Zur Multiplen Imputation bei Item Nonresponse am Beispiel eines Analysemodells zum Abstimmungsverhalten bei Bürgerentscheiden;_;38445;http://www.ssoar.info/ssoar/handle/document/38445;German;"Methoden, Daten, Analysen (mda), 7 (2013) 3
MDA_part1/38445.tsv";2013;1864-6956;Messingschlager, Martin;Preising, Marcel;_;_;_;_;38445;ALLBUS 2012;http://www.da-ra.de/dara/study/web_show?res_id=296631&lang=de&mdlang=de&detail=true;;;;;;;;;;;;;;;
Konstruktion und Validierung einer Skala zur relativen Messung von physischer Attraktivität mit einem Item: Das Attraktivitätsrating 1 (AR1);Development and validation of a single-item scale for the relative assessment of physical attractiveness: The Attractiveness Rating 1(AR1);37419;http://www.ssoar.info/ssoar/handle/document/37419;German;"Methoden, Daten, Analysen (mda), 7 (2013) 2
MDA_part1/37419.tsv";2013;1864-6956;Johannes Lutz;Christoph J. Kemper;Constanze Beierlein;Jutta Margraf-Stiksrud;Beatrice Rammstedt;_;37419;Soep;http://www.da-ra.de/dara/study/web_show?res_id=464020&lang=de&mdlang=de&detail=true;ALLBUS;http://www.da-ra.de/dara/study/web_show?res_id=296631&lang=de&mdlang=de&detail=true;;;;;;;;;;;;;
_;Interviewer Behavior and Interviewer Characteristics in PIAAC Germany;42887;http://www.ssoar.info/ssoar/handle/document/42887;English;"Methods, data, analyses : a journal for quantitative methods and survey methodology (mda), 8 (2014) 2
MDA_part1/42887.tsv";2014;1864-6956;Daniela Ackermann-Piek;Natascha Massing;_;_;_;_;42887;PIAAC 2011-2012;http://www.da-ra.de/dara/study/web_show?res_id=291856&lang=de&mdlang=de&detail=true;"
SHARE 2011(based on golden standard)";http://www.da-ra.de/dara/study/web_search_show?lang=de&detail=false&mdlang=de&personal=false;;;;;;;;;;;;;
